text,level
3. 筆者は障害者にとっての山頂とはどこだと言っているか。 現実の山の頂き,1
 シナイ山の山頂 力尽きたところ 普段どおりに100歩歩いたところ,1
4. 筆者は、プロの楽しみとは何だごと言っているか。 仕事と趣味を両立させること,1
 社長に頼みこまれて残業をすること 専門家として小説を書くこと 納得した仕事をするために時間をかけること,1
5. 筆者の考えに合っているものはどれか。 仕事が趣味の人も、時間がきたら仕事を止めて帰ったほうがよい。 職場の同僚に遠慮せずに、休みはできるだけ取るべきだ。 長時間働くのも、あまり仕事をしないのも、個人の自由だ。 労働時間の短縮は世界の流行だから、日本人ももっと休むべきだ。,1
混み合ったコンパの席で友人と話をしているとき、耳に入ってくるのは友人の声だけではない。周囲で交わされる会話や食器のぶつかる音があり、BGM さえ流れている。そんな喧噪（けんそう）の中でも、友人の話に耳を傾け、その内容を理解することが可能である。このような例をあげるまでもなく、私たちの耳には通常たくさんの情報が同時に入力されている。それでも私たちが混乱しないのは、注意を選択的に振り分ける選択的注意ができるからである。注意を向けられた情報は深い処理を受け、そこで初めて理解されることになる。,1
しかし処理されているのは注意を向けられた情報だけではない。友人の話に耳を傾けていても、BGM がピアノからギターに変われば、その音色の変化に気づくし、他の人から自分の名前を呼ばれたことにも気づく。この場合の情報処理は、意図的な制御を受けない自動的処理である。ここでは情報の物理的な特徴（声の質、口笛などの信号、名前など）が処理され、情報内容の深い理解は伴わない。これに対して、喧噪の中で友人の話が理解できるのは、注意的処理とよばれ、情報処理の意図的な制御を行っている。注意的処理では、記憶構造内の知識が検索され、情報の深い理解を可能にしているのである。,1
1. そんな喧噪の中でも、友人の話に耳を傾け、その内容を理解することが可能であるというのは、なぜか。 友人の話に対して「自動的処理」をするから。 周囲の声や音に対して「選択的注意」ができるから。 友人の話以外の声や音は、耳に入ってこないから。 友人の声と他の音は、質が異なっているから。,1
2. 深い処理を文章中の別の言葉で言い換えると何か。 選択的注意 自動的処理 物理的処理 注意的処理,1
3. 自動的処理の例はどれか。 喫茶店で本を読んでいるとき、店員が話しかけてきたことに気づくこと 外国語の新聞を読んでいるとき、わからない言葉を辞書で調べること コンサートで流れている音楽に合わせて一緒に歌うこと 友人と話しているとき、友人の話をメモすること,1
人間の潜在力をONにするには、プラス発想や積極思考など前向きの精神状態や心の持ち方が大きく作用しているといいます。思いの力がわたしたちの可能性をおおいに広げてくれるということが、遺伝子レベルで解明されはじめているわけです。_______、どれくらいのことが人間に可能なのか。人間の頭で、これをしたい、こうあってほしいと考えられるようなことは、遺伝子レベルでみれば、たいてい可能な範囲にあるそうです。つまり、「思ったことはかなえられる」能力が、わたしたちの中には潜在しているのです。,1
4. 文の _______ に入る最も適当なものはどれか。 ちなみに もっとも たとえば すなわち,1
ちかごろ、速読術などという言葉、その訓練の方法の話をきくと、古風な人間である私はカッとなる。そういう習練をする暇があったら一本をよむにこしたことはない。つまらない本に時間をかけるのは愚かなことだし、丹念によまねばならぬ本をすばやくよむのは、さらに愚かなことだ。そういう差別は種々の本を読むことによってしか覚えられぬものであろう。,1
5. そういう差別とはどんな差別か。 本を読むときに速読術を使うべきかどうかという差別 本を読むべきか速読術を習練するべきかという差別 速読術で読む習練をするべきかどうかという差別 すばやく読むべきか丹念に読むべきかという差別,1
A,1
日本では周囲と協調するように教育され、年長者に対して従順（じゅうじゅん）に、調和状態を壊さないようにする。しかし実際は、人間は独自の感覚や思考を持つのが当然で、他者と考え方が異なるのは自然なことなのである。これを無理に押さえつけようとすると、心理状態が正常に保てない場合がある、。考えの異なる他人と上手に意見交換するということは、重要なことなのだ。この技術は、訓練されずには得られないものである。そこで私は、日本の学校教育でディベートを取り入れることを提案したい。自分の意見をきちんと相手に伝え、反論を聞き、整理し、ポイントを見つけ、さらに説得していく過程で、参加者は意見交換の重要なテクニックを学ぶ。また、感情的にならず冷静な態度を保ち続ける訓練も、ディベートを通してできるはずである。,1
B,1
ディベートが基本的に勝ち負けを決めるタイプの討論であることを考えると、日本の学校教育で採用することには疑問を感じている。自分の意見を述べたり相手の意見を聞いたりするという行動は言うまでもなく重要であり、その資質を養う必要があるが、その方法としてのディベートには無理がある。なぜなら、日本社会の根底に、人は他者の気持ちを考えるべきだ、争いは避けるべきだ、という考えがあり、争って勝ち負けを決めるタイプのディベートはそれと矛盾しているからである。議論で勝負するのではなく、互いの意見を認め合いながら弱点を補ったり譲り合ったりしながら、協力して新しい考え方をつくっていくブレーン・ストーミングのような討論のほうが適当であると思う。,1
1. Ａ、Ｂが共通して言っていることは何か。 日本社会でディベートが受け入れられるのは難しいだろう。 ディベートでは意見交換のテクニックを学ぶことはできない。 他者との意見交換は重要で、そのための訓練か必要である。 以前の日本では協調性が重視されていたが、最近は変化している。,1
2. 二つの意見を正しく説明しているのはどれか。 Ａ：ディベートにより意見交換の重要なテクニックが学べる。 Ｂ：ディベートではなく協力し合うタイプの討論方法がいい。 Ａ：日本人が周囲との調和を大切にしていることはすばらしい。 Ｂ：常に他者の気持ちを考える日本人の資質は、問題がある。 Ａ：ディベートには長所も短所もあるが、日本の学校教育では必要ではない。 Ｂ：ディベートは多くの長所があり、日本の学校教育で必要だ。 Ａ：ディベートでは進め方や勝負の決め方を知っておく必要がある｡ Ｂ：日本でディベートを取り入れるにはさまざまな方法がある。,1
人間には四種類ある。過去の思い出に生きる人、未来に生きる人、現在に生きる人、その他だ。わたしは「あのときこう言い返せばよかった」とよく後悔するから過去に生きているのかとも思うが、過去の思い出にひたることはないし、「思い出づくり」にも興味がない。過去の栄光も意識に上らない（過去の栄光がないかもしれない）。第一、過去に目を向けることがない。人に自慢しようとして、自慢できるところが現在の自分に見当たらず、過去の中に無理やり探すときぐらいだ。___１___　、つらい出来事はずっと尾を引く。先日、失意の底に沈んだときは、立て直るのに二日かかった。たぶん過去のことは二日経つと他人事に思えるのだ。,1
未来はどうか。わたしはよく、流暢に話せないのではないかなどと未来に不安を抱くし、食事でも、好きな物が最後に残るよう計画的に食べるから、未来に生きていそうだが、そうとも思えない。たとえば、未来のために健康診断を受けたほうがいいと思うが、検査は極力避けている。仕事も、今日できることを一日延ばしにして、結局、約束が守れず謝罪する。計画は立てるが、計画性がないのだ。万事、行き当たりばったりだ。,1
学生時代、進路を哲学に変えたときもそうだった。当時は就職難で、大学院に行くと就職はまず無理だったが、決断には何の迷いもなかった。親から、哲学に進むなら仕送りをやめると脅されても、生活のあてもないまま、まったく動じなかった。わたしが楽天的だからではない。たんに先のことが他人事としか思えないのだ。,1
自分の未来は一日で十分だ。わたしは人生が何百年もあればいいのにと願っているが、人生のうち、___２___　人生だと思っているのは今日一日と過去二日と未来一日の余計四日日間だけだ。,1
3. ___１___　に入る最も適当な言葉はどれか。 むろん しかし すると そうして,1
4. 「万事、行き当たりばったりだ」とは、どういう意味か。 人生において後悔することはあっても、過去に目を向けることはない。 人生においていろいろなこおは他人事だと考え、楽観的に行動する。 人生において先のことを深く考えずに状況に応じて適当に処理する。 人生において周りに反対されても、自分で決断を信じて信念を曲げない。,1
5. ___２___　に入る最も適切な言葉はどれか。 後悔のない 充実した 自分の 幸せな,1
ある有名なインタビューアーが、｢いろんな人に会わなくちゃならなくて、たいへんですね。いい人、好きな人だけじゃなくて、いやな人、きらいな人もいるでしょうに」と言われて、｢いいえ、はじめから好きな人、きらいな人、ということはありません。はじめは虚心（注1）でその人に会うようにしています。最低限、その人に好意と関心をもつようにして」と言っていたのが印象的である。,1
私たちは、人に聞いたことや、会ったときの印象で、ある程度、相手の人がらを決めてしまいがちである。,1
その人の容貌や服装やからだの特徴や、ことばづかいや動作や姿勢、さらにまた、職業や年齢や出身、経験、社会的地位などといったものからでも、どんな人か、何らかの先入主（注2）を抱く。出会ったときの、自分側の条件や、その場面にもよるわけだが、そういうことを割り引いて、冷静に考える人はまれで、たいていは、自分のこれまでの体験から、あれはこういう人だ、というイメージをつくり上げる。過去の経験で似た人がいれば、その人の印象が重なってくる。意識的に払いのけようとしても、この第一印象は、強い影響をあとに残す。,1
(中略),1
結婚のための見合いのような場合、内心強い劣等感を持っていて、きらわれるのではないかという恐れを抱いていると、相手に対する見方にも、バイアス(かたより)が生ずる。畏怖（注3）して、相手が実物以上によく見えたり、逆に、反動的に、なにかにつけて、わるく、低く見ようとしたりする。,1
人生、はじめての出会いは、すべて、見合いみたいなものだが、身がまえてコチコチになっていると、相手の姿が正確に見えない｡特に利害がからむと､バイアスがかかりやすく、かたよった先入主を抱きがちである。ずるそう、おっかなそう、きつそう……など。それは、多分、自分側の気持ちを、相手のイメージに投影しているのである。,1
身がまえることなく、相手を受けいれることが、いかに難しいか。自己防衛的な身がまえは、相手に対して、ドアを閉じようとしている姿勢である。ある有名なインタビューアーが言ったように、自分の心のドアを開け、人に接しようとする心がけが必要である。パッと見た瞬間の印象にとらわれたり、こだわったりすると、人間関係は玄関先でギクシャクする（注4）。,1
（注1）虚心：先入観なく相手をありのままに受け入れる心,1
（注2）先入主：先入観,1
（注3）畏怖：おそれ,1
（注4）ギクシャク：物の動き、人の言動、人間関係が円滑でないさま,1
1. 印象的であるとあるが、何が印象的だったのか。 いろいろな人に会うのは大変だ、と言ったこと いやな人、きらいな人もいる、と言ったこと 人の好ききらいはない、と言ったこと だれにでも初めは虚心で会う、と言ったこと,1
2. 「身がまえてコチコチになっている」というのは、どういうことか。 作り上げたイメージを払いのけようとしている様子 相手がこわそうなので、びくびくしている様子 相手に対して心を開けず、自分を守ろうとしている様子 相手がもっている先入観をくずそうとしている様子,1
3. 「自分側の気持ちを、相手のイメージに投影している」例として適当なものはどれか。 自分に自信かないと、相手が自分をばかにしているように感じる。 自分がさびしいときに相手が楽しそうにしていると腹が立つ。 自信過剰な人を見ると、心配になり、注意したくなる。 相手が自信がなさそうだと、自分に自信がわいてくる。,1
4. この文章で筆者が最も言いたいことは何か。 先入観と第一印象は人を判断する時に大きく影響する。 相手に対する先入観なしに自分の心を開くことが大切だ。 第一印象は、その人を判断するのに、全く役にたたないものだ。 人間関係は、まず相手のイメージを作りあげることから始まる。,1
ある医者から聞いた話だが、薬物依存の患者に、本物そっくりの薬を渡すと症状が落ち着くことがあるという。その後、「薬がなくても大丈夫」と説明すると、薬から離れるきっかけになるというのだ。これは治療の一環として行われるそうである。こんなことができるのは、患者が、にせの薬を「本物の薬」と思いこむことで効果が現れる「プラセボ効果」が存在するからだ。,1
昔から、珍しい植物とか、動物の骨とかが難病に効くという話がよくある。成分からすると効くはずのないものが長く薬として使われた背景には、プラセボ効果があるとみられる。,1
5. 次のうち、プラセボ効果に相当するのはどれか。 お守りがあると、テストでほんとうにいい点が取れることがある。 乗り物酔いに効くと言われて梅干しをお茶に入れて飲んだら酔わなかった。 マラソンをしているとき、応援されると急に足が軽くなることがある。 薬を飲まなくても食事を改善することで病気が治ることがある。,1
三匹の猫を飼っている。猫にはとにかく驚かされることばかりだ。こちらの精神状態がよければ彼らは限りなくリラックスし、外出すが続いて忙しくてかまってあげられなくなったりすると、途端にグレてわるさをする。いらいらしている時は、わざとわたしの足を踏んづけて歩いたりもする。押入れからバックバックを取り出して旅行の準備をし始めると、不機嫌になって、一晩家出をしたり抗議のハンストをしたりする。わたしの状態や行動に座即に反応を示す。猫の立場に立って、そこから見える世界を想像してみると、自分が見ている世界のあやふやさがあぶり出されることがある。,1
ある日、ライオンの子育て番組を見ていた時のことだ。画面にはしまうまを襲ったライオンが肉を食いちぎっているシーンが映し出されていたが、二匹の猫はテレビの前に寝そべり、映像には目もくれず、互いの体を舐めあっていた。,1
彼らは時としてテレビに敏感に反応する。テレビで生まれたばかりの仔猫の様子を映していた時、出産経験のある「うるるる」と鳴き、テレビの後ろへ仔猫を探しに行った。時々小鳥やねずみを手土産に持ち帰る狩りの名手、「ゆき」は、画面が鳥の群れを映し出した途端、テレビに飛びついて鳥を捕まえようとした。しかしオリンピックの時には斜面を猛スピードで降りてくる滑降の選手に飛びついていたし、サッカーの試合を見ている時は右へ左へ転がるボールを選手と一緒に追いかけていたから、あまり物事を深く考えて行動しているわけではなさそうだ。,1
そんな彼らが、百獣の王であり、自分と同じ科に属するライオンの声や映像にはまったく反応を示さない。それがわたしにはとても　_______　に映った。,1
彼らは、地上にライオンという動物が存在することを知らないのだ。ライオンも象もパンダも猿も知らない。会ったことがないのだから。自転車と自動車は知っているが、電車や飛行機、船は知らない。まして戦闘機など。世界には海や山や山があることも、そして海の向こうには外国、空の向こうには宇宙が広がっていることも知らない。,1
でもわたしは本当にそれを知っているのだろうか。,1
わたしがもし「ライオンを知らない」といったら、多くの人がへんな顔をするだろう。いつ、どのように自分がライオンを認識するようになったのか、残念ながら記憶にない。おそらく最初は絵か写真で姿形を見せられ、実際に動物園で本物を見て認識に到達したのだと思う。つまりわたしは学習して情報を持つがゆえに、「ライオンを知っている」と錯覚してるだけだ。,1
わたしはライオンを知らない。イラクで毎日人が死んでいることも知らない。,1
知っているのは、目の前で寝る猫達が愛らしいということだけだ。,1
1. 「猫の立場に立って、そこから見える世界を想像してみると、自分が見ている世界のあやふやさがあぶり出されることがある」とあるが、筆者が言っている「自分が見ている世界」とは、どういうことか。 学習で得た知識などで、体験しなくても知っていると思う世界。 情報や知識にすぎないことも、知っていると勘違いする世界 動物の知能よりはるかに発達した人間特有の想像の世界 自分の五感で体験した実感としての世界。,1
2. _______　に入る最も適当な言葉はどれか。 普通 奇妙 斬新 当然,1
3. 「イラクで毎日人が死んでいることも知らない」とあるが、筆者のどんな気持ちが表れているか。 ニュースや映像などの報道は事実と異なるところがあるので、簡単に信じてはいけないという筆者の思い 人間は現実主義で、国際的なニュースよりも自分の身近で起きる日々の暮らしの中のことがもっと大事だという筆者の思い 事実は知っていても実際の体験がないわけで、簡単に知っているとはいえないのだという筆者の思い 人間の目に見える世界は情報で得た知識で成り立つ場合が多く、それを克服するためにはもっと現場での体験を大事にすべきだという思い,1
4. 本文の内容と合っているものはどれか。 猫に見える世界＝猫が知らない世界 人間に見える世界＝人間が知っている世界 猫に見える世界 ≠ 猫が知っている世界 人間に見える世界 ≠ 人間が知っている世界,1
衝突することを恐れていたのでは、他人と親しくなることができない。人間はお互いにからり親しくなっても、お互いを完全に理解できるものではない。理解しているつもりでも誤解していることはあろう。そして、衝突することを恐れていると、その誤解がとけないまま関係が維持されることになる。相手のやることで何か不愉快なことがあった時、もし本気で親しくなろうとすれば、それをはっきりという方がいいだろう。相手は不愉快だといわれてはじめて、なぜ自分はそれをしたか、ということが説明できる。,1
5. 筆者がここで最も言いたいことは何か。 お互いの誤解を避けるために、距離をおいてつきあった方がいい。 相手の人と親しくなるにはもっと相手のことを理解しようと努力するべきだ。 お互いの意見が違っていても素直に打ち明けることでよい関係が築ける。 不愉快に感じることで誤解が生じる恐れがあるので、はっきり言わないといけない。,1
妻の掃除と整理の仕方、これはもう極端に偏執的である。たとえば自分の好きなところはピカピカ光るほど磨き上げるが、興味のないところは何年もほこりが積み放しになっている。家の中のある部分は精神質なくらい整然と物が並び、だれかが彼女の留守にほんの一ミリほど品物を動かしてもすぐに気づいてしまう。そのかわり、いつも手のつけようもないほどむちゃくちゃにものが突っ込んであるところが家の中に一、二ヶ所は必ずある。,1
妻のもののしまい方は普通の世間並みとは大分違う。普通の人なら大概たんすにしまう品が食器棚に入っていたり、流しの棚にあるはずのものが冷蔵庫にしまってあったりする。探す以上一応我々の常識と因襲を全部脱ぎ棄てて、白紙にかえって探さねばならぬが、そんなことは容易にできることではない。次に、彼女の物の置き方、並べ方はことごとく彼女の抱いている美の法則によって支配されているので、実用上の便宜というものは　_______　。どんな不便を忍んでも彼女は自分の美を守り通そうとする。ときにわたしが抗議を申し込んでみてもとうていむだである。,1
1. 「白紙にかえって探さねばならぬ」とあるが、どういう意味か。 新しい紙に書きながら探すこと 妻の考え方にそって探すこと 常識的な考えは捨てて探すこと 探すのは無理だと思いながら探すこと,1
2. _______　に入る最も適切なものを一つ選びなさい。 一切無視される 一番大事にされる 多少は考慮する 必要不可欠である,1
3. 「ときにわたしが抗議を申し込んでみてもとうていむだである」とあるが、それはどうしてか。 彼女は我慢強い人で、家の中のものをすぐ探すことができるから 彼女は神経質で、家のどこもきれいにしておかないと気がすまないから 彼女は自分の美意識を持っており、それを曲げようとしないから 彼女は考え方が普通の人と違うので、家のものは一瞬にして気がつくから,1
始発駅に電車が入ってきて、やがてドアが開くと、ホームに並んでいた客たちは目の色を変えて座席になだれ込む。このホームで並ぶという道徳を守らせているものは損得の判断、つまり知性だと言える。ホームのような場所で利己的に振る舞うことによる身の危険を知性はよく知っている。だから、私たちはホームで行儀よく並ぶ。ドアが開くまでは我慢して並ぶのである。,1
しかし、ホームで並ぶことと電車で席を譲ることとは本質的に違う。自分の利益を考えて席を譲るのではないし、「お年寄りに席を譲りましょう」という指示に従って譲るのでもない。言葉のない何かしらの内なる声に引っ張られ、人は自発的に席を譲るのである。それは共同体に道徳をもたらす元の力であり、この力にはまだ言葉がない。この力は、「人間が生きていくには共同体が要る」という事実から生まれている。この力は潜在的ではあるが、抽象的ではない。そこから知性を越えた「仲間を助けよう」という本能的な欲求が突然生じるのである。群れの中に生まれ落ちた人間という知性動物の倫理の原液が正にここにある。,1
4. 「ホームで並ぶことと電車で席を譲ることとは本質的に違う」とあるが、筆者はどのように違うと考えているか。 前者は知性的、後者は本能的 前者は本能的、後者は知性的 前者は利己的、後者は利他的 前者は利他的、後者は利己的,1
5. それはとあるが、何を指しているか。 知性 損得の判断 内なる声 倫理,1
6. 倫理の原液とあるが、その説明として正しいのはどれか。 個人の心の中にある社会の役に立ちたいという欲求である。 人を含む生き物が自分の身を守ろうとする自己保存の本能である。 人間という知性動物がもつ、集団に適応しようとする欲求である。 集団を作ってしか生きていけない人間の心に潜む助け合うの欲求である。,1
いまの男性の主張はまだ自己表現とは思わない。やっと「表現とは」というスタートラインに立ったところではないか。,1
表現はコミュニケーションを目的とする。表現が求められるようになった最大の背景は、日本という共同体や家族的な社会という共同体が崩壊したことだろう。年功序列や終身雇用が大前提という共通の文化があれば意思疎通は簡単で、その規範に従っていれば目立つ必要もなかった。,1
だが　_______　が失われたいま、あらゆる人間関係で高度なコミュニケーション体力が求められる。演劇でも、文化の異なる人が集まる欧州でも、意思疎通を目的とするワークショップが盛んだ。共通の文化がないなかで、「いいことは黙っていても伝わる」と考えるのは、残念ながら思い込みでしかない。,1
メッセージをより効果的に伝える手段として、政治家や大企業の社長に発声や魅力的な笑い方などを指導する演出家がつくことは、欧米でもよくある。内容は重視するのに表現のための方法論は非常に軽視してきた日本とは、大きく異なる。,1
しかし、内容は同じでも間の取り方や声の高さ、大きさなどで、うまい人と下手な人の差は明らか。落語がいい例だ。聞くほうも、内容より話し方や振る舞いといった方法論に説得されることがある。手法の重要性にやっと目が向き始めたということだろう。,1
1. 本文の　_______　に入る最も適当なものはどれか。 自己表現 意思疎通 共通認識 自国文化,1
2. 「残念ながら思い込みでしかない」とあるが、どういう意味か。 残念なことだが、単なる思い込みである。 残念だと思う必要はまったくない。 残念なことだが、誰もそう思わない。 残念だと思わなくもない。,1
3. 筆者の考えに一番近いものはどれか。 コミュニケーションの能力はどんな時代においても大事にされている。 日本は自己表現において、もっと方法論を重視すべきだ。 日本社会は共同体が続いているため、意思疎通に大きな問題はない。 表現の内容が同じなら、話し方や振る舞いなどで影響されることはない。,1
アメリカでは、会社の教育訓練もさることながら、個人が自己投資をして資格や能力を身につけることが多いのに対して、日本では会社の負担による教育訓練の比重が圧倒的に高い。また、賃金も日本ではそのひとの能力や年齢、学歴といったものを基準にして支払われるのに対して、アメリカではそのひとの仕事に対して支払われるのが一般的である。さらに、日本人の多くは、正社員として採用されたときから雇用保障が与えられていると考えるのに対して、アメリカ人は、自分が会社にとって有益な存在となることによって、それを自分でつくりだすものと考える。,1
4. この文章の内容に合っているものはどれか。 日本では、能力や年齢、学歴といったものを基準に給料を支払い、会社での教育を行わない。 日本では、会社の負担による教育訓練を行うが、採用されたときから雇用保障が与えられているわけではない。 アメリカでは、会社の教育訓練によって実力をつけ、賃金はそのひとの仕事に対して支払われるのが一般的である。 アメリカでは、基本的には個人が自己投資をして資格や能力を身につけ、自分が会社にとって有益な存在となるようにする。,1
人生は短く、しかも一回限りである。ある人生を生きるということは、他の可能な生き方をすべて断念するということに他ならない。数学と音楽が好きな少年が数学者の道を歩き出す時、彼は音楽家になれば果たせたかもしれないすべての夢を失う。その悲しみは、たとえ彼が数学者としてどんなに輝かしい業績をあげたとしても決して愈されることはないであろう。人が若い時をなつかしく感じるのは、失われた　_______　をいとおしく思うからなのではないだろうか。,1
5. 文の_______　に入る最も適当なものはどれか。 悲しみ 成功 可能性 青春,1
新聞をめくっていたら、こんな広告が目に飛び込んできた。「ほしいものが突然あらわれる。これは不思議なカタログです」,1
「ほしいものは何ですか」と聞かれても「特にない」と答えてしまう人のために、そのカタログは作られているという。そこに例示されている世界の一流品の写真と能書きを読んでいたら、確かに私も「ほしいなあ」と思った。,1
「足りないものは何もないはずなのに、次々とほしいものがあらわれる」といったあたり、なかなか正直な広告だ。本来、広告とはそういうものだろう。必要なものは、広告なんか見なくても人は買いもとめる。別に必要じゃない人にまで、なんとなく欲しいと思わせてこそ、広告なのである。,1
1. そういうものとはどんなものか。 世界の一流品が手軽に買えるもの いつでも必要な品が買えるもの 必要じゃない人にもほしいと思わせるもの 足りない品は何かを教えるもの,1
ボランティア活動は人間だけが持ちうる楽しい特権である。お互いに弱さを持つ人間が身を寄せながら助け合う。他者のニーズを受けて立ち上がるエネルギーを、人間はみな持っている。自分以外のことに自分の能力を使う。,1
特権を発揮することは、人間の証である。人間には二つの寿命があり、一つは、自分のためだけの、生物のいのちとしての寿命、もう一つは、人間でなければできないことに使われる寿命なのである。,1
2. 筆者がここで最も言いたいことは何か。 ボランティア活動は人間の特権なので、弱い人は助けを求めるべきだ。 人間は特権を発揮するためにみなエネルギーを持っている。 いのちのかぎり、弱い立場の人を助けるのが人間である。 人間にとってボランティア活動は生物としての寿命である。,1
ある本に次のように書かれていた。,1
「このごろの若者で気に入らないことの一つは、とかく小さく固まりたがることだ。特定の仲間とだけつきあって、ややこしいことを避けたがる。,1
これには、『他人に迷惑をかけない』という、奇妙な道徳が行きわたりすぎているのではないか。『他人に迷惑をかけない人間』というのを、やたらと持ちあげることに、ぼくはおおいに不満なのである。元来、人間が入りみだれて暮らすのに、他人にまったく迷惑をかけてないなんて、とても信じられない。むしろ、迷惑をかけあうことこそ、人間の社会性と言えるぐらいだ。それに、社会的弱者にとって、この『迷惑をかけるな』は差別として作用することが多い。問題は、迷惑をかけていることに鈍感になるな、ということだろう｡」,1
私も「人に迷惑をかけてはいけない」と教えられてきた。実はこれは、互いに助け合って生活しているという前提があるからこそ言える言葉なのだ。人間関係が希薄な社会より感謝の気持ちを持ちながら迷惑をかけあえる社会のほうが、ずっと居心地がいい。,1
3. 何に対して「おおいに不満なのである」と言っているのか。 若者が特定の仲間とだけつきあって、小さく固まりたがること 他人に迷惑をかけないことがいいことだと思われていること 他人に迷惑をかける人が多いということ 人間が入りみだれて暮らすと、他人に迷惑をかけてしまうこと,1
4. 「差別として作用する」例として、最も適当なものはどれか。 電車の中でお年寄りに席を譲らないこと 子供の学力に親の経済力が影響すること 学歴がないと就職しにくいこと 車いすの人は電車に乗らないほうがいいと思うこと,1
5. 「人に迷惑をかけてはいけない」はどういう社会におけるものか。 人に迷惑をかけるのは良くないという考え方の社会 お互いに迷惑をかけ合うことが普通の社会 お互いにあまり関係を持たないようにする社会 ややこしいことはなるべく避けようとする社会,1
